City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,tarrafal de sao nicolau,16.5667,-24.3667,24.5,73,96,3.89,CV,1689158678
350,morogoro,-6.8167,37.6667,28.100000000000023,51,40,0.0,TZ,1689158679
351,tezu,27.9167,96.1667,24.33000000000004,99,100,1.45,IN,1689158680
352,road town,18.4167,-64.6167,28.05000000000001,80,100,10.77,VG,1689158681
353,enumclaw,47.2043,-121.9915,14.53000000000003,90,87,0.45,US,1689158682
354,barra de santo antonio,-9.4047,-35.5072,22.600000000000023,80,4,2.89,BR,1689158683
355,ad dilam,23.9915,47.1627,45.23000000000002,8,18,1.18,SA,1689158684
356,thai binh,20.45,106.3333,31.390000000000043,67,2,5.66,VN,1689158685
357,makungu,-8.7333,35.2833,17.03000000000003,77,100,2.95,TZ,1689158686
358,labuan bajo,-8.4964,119.8877,25.350000000000023,80,99,2.11,ID,1689158687
359,port augusta,-32.5,137.7667,10.990000000000009,59,0,2.57,AU,1689158688
360,coquimbo,-29.9533,-71.3436,13.860000000000014,71,48,0.4,CL,1689158586
361,spasskoye,44.6108,132.7969,16.910000000000025,95,62,2.63,RU,1689158690
362,ostrovskoye,57.8057,42.2433,10.350000000000023,91,100,3.44,RU,1689158691
363,red deer,52.2668,-113.802,10.660000000000025,100,100,2.06,CA,1689158685
364,moanda,-1.5575,13.2178,24.129999999999995,40,83,1.15,GA,1689158692
365,wynyard,-41.0,145.7167,12.980000000000018,79,99,6.39,AU,1689158693
366,nguigmi,14.2495,13.1092,34.72000000000003,38,68,3.38,NE,1689158695
367,ranchettes,41.2186,-104.7903,18.5,39,0,5.36,US,1689158696
368,fort st. john,56.2499,-120.8529,12.939999999999998,88,0,1.54,CA,1689158697
369,preobrazheniye,42.9019,133.9064,17.04000000000002,91,61,1.8,RU,1689158698
370,nova sintra,14.8667,-24.7167,21.29000000000002,76,87,4.31,CV,1689158699
371,vazante,-17.9869,-46.9078,20.939999999999998,45,0,1.0,BR,1689158701
372,aginskoye,51.1,114.53,23.77000000000004,64,38,2.86,RU,1689158703
373,dali,25.7,100.1833,21.230000000000018,77,99,3.16,CN,1689158705
374,dalhart,36.0595,-102.5133,21.010000000000048,73,0,2.57,US,1689158706
375,cuito,-12.3833,16.9333,14.080000000000041,21,0,5.14,AO,1689158707
376,okhotsk,59.3833,143.3,12.420000000000016,89,10,3.48,RU,1689158708
377,lubango,-14.9172,13.4925,14.920000000000016,20,0,4.63,AO,1689158709
378,nadi,-17.8,177.4167,23.0,68,75,5.14,FJ,1689158710
379,saudarkrokur,65.7461,-19.6394,7.75,78,73,5.77,IS,1689158711
380,saint-pierre,-21.3393,55.4781,25.82000000000005,57,0,2.57,RE,1689158712
381,awjilah,29.1081,21.2869,35.420000000000016,12,0,5.37,LY,1689158713
382,bodo,67.28,14.405,20.53000000000003,60,75,8.23,NO,1689158714
